datetime,date,code,fac_close
2024-01-02 09:45:00,2024-01-02,000001,10.014565756200067
2024-01-02 09:45:00,2024-01-02,000002,10.227937206843057
2024-01-02 09:45:00,2024-01-02,000003,10.750871203885923
2024-01-02 09:45:00,2024-01-02,000004,10.10336651507635
2024-01-02 09:45:00,2024-01-02,000005,10.542128593453432
2024-01-02 09:45:00,2024-01-02,000006,10.070555272460556
2024-01-02 09:45:00,2024-01-02,000007,10.367416757644524
2024-01-02 09:45:00,2024-01-02,000008,9.730960724225143
2024-01-02 09:45:00,2024-01-02,000009,10.024504764506949
2024-01-02 09:45:00,2024-01-02,000010,10.41328161821636
2024-01-02 09:45:00,2024-01-02,000011,9.782422259507323
2024-01-02 09:45:00,2024-01-02,000012,9.436266203618288
2024-01-02 09:45:00,2024-01-02,000013,9.774054687835141
2024-01-02 09:45:00,2024-01-02,000014,8.893320493423913
2024-01-02 09:45:00,2024-01-02,000015,10.733934055255732
2024-01-02 09:45:00,2024-01-02,000016,9.638131383532963
2024-01-02 09:45:00,2024-01-02,000017,9.731979152451888
2024-01-02 09:45:00,2024-01-02,000018,9.79939595418732
2024-01-02 09:45:00,2024-01-02,000019,10.78719146303711
2024-01-02 09:45:00,2024-01-02,000020,9.42382904907336
2024-01-02 09:45:00,2024-01-02,000021,9.561675142698379
2024-01-02 09:45:00,2024-01-02,000022,10.310309349215435
2024-01-02 09:45:00,2024-01-02,000023,10.333763056679395
2024-01-02 09:45:00,2024-01-02,000024,9.57783307703426
2024-01-02 09:45:00,2024-01-02,000025,9.259841454978194
2024-01-02 09:45:00,2024-01-02,000026,10.502845705477654
2024-01-02 09:45:00,2024-01-02,000027,10.214251515749964
2024-01-02 09:45:00,2024-01-02,000028,10.627694556492541
2024-01-02 09:45:00,2024-01-02,000029,9.082390710888907
2024-01-02 09:45:00,2024-01-02,000030,9.647223537486747
2024-01-02 09:45:00,2024-01-02,000031,9.87255847837088
2024-01-02 09:45:00,2024-01-02,000032,10.337677215118834
2024-01-02 09:45:00,2024-01-02,000033,9.690263385042668
2024-01-02 09:45:00,2024-01-02,000034,9.293391818683373
2024-01-02 09:45:00,2024-01-02,000035,9.788184109807064
2024-01-02 09:45:00,2024-01-02,000036,11.205279702462981
2024-01-02 09:45:00,2024-01-02,000037,9.647157069389124
2024-01-02 09:45:00,2024-01-02,000038,10.704319081834974
2024-01-02 09:45:00,2024-01-02,000039,9.336214153755249
2024-01-02 09:45:00,2024-01-02,000040,10.22804331942417
2024-01-02 10:00:00,2024-01-02,000001,10.005587183036154
2024-01-02 10:00:00,2024-01-02,000002,10.170496117232421
2024-01-02 10:00:00,2024-01-02,000003,10.727151502903117
2024-01-02 10:00:00,2024-01-02,000004,10.063400563856572
2024-01-02 10:00:00,2024-01-02,000005,10.565033581537335
2024-01-02 10:00:00,2024-01-02,000006,10.089688634220288
2024-01-02 10:00:00,2024-01-02,000007,10.388363950049383
2024-01-02 10:00:00,2024-01-02,000008,9.739142768969218
2024-01-02 10:00:00,2024-01-02,000009,9.979222990370653
2024-01-02 10:00:00,2024-01-02,000010,10.476386370971074
2024-01-02 10:00:00,2024-01-02,000011,9.768933727647903
2024-01-02 10:00:00,2024-01-02,000012,9.409630927159636
2024-01-02 10:00:00,2024-01-02,000013,9.781377611006569
2024-01-02 10:00:00,2024-01-02,000014,8.890139152721964
2024-01-02 10:00:00,2024-01-02,000015,10.786796733364383
2024-01-02 10:00:00,2024-01-02,000016,9.735735986050251
2024-01-02 10:00:00,2024-01-02,000017,9.772891843911678
2024-01-02 10:00:00,2024-01-02,000018,9.788394176253817
2024-01-02 10:00:00,2024-01-02,000019,10.828888375004702
2024-01-02 10:00:00,2024-01-02,000020,9.507094832839977
2024-01-02 10:00:00,2024-01-02,000021,9.523546975118602
2024-01-02 10:00:00,2024-01-02,000022,10.334430601644314
2024-01-02 10:00:00,2024-01-02,000023,10.292867001858571
2024-01-02 10:00:00,2024-01-02,000024,9.589060399235684
2024-01-02 10:00:00,2024-01-02,000025,9.257687895662126
