signal_ts,ic,rank_ic,n
2024-07-01,0.18395559721830193,0.3,5
2024-07-08,0.15986998451336523,-0.35909242322980395,5
2024-07-15,0.12607095786453149,0.3,5
2024-07-22,-0.02747537152256044,0.10259783520851543,5
2024-07-29,0.026098377493694702,-0.3,5
2024-08-05,0.16740717715724734,0.20519567041703085,5
2024-08-12,0.48076396177841263,0.6155870112510925,5
2024-08-19,0.39317385921047115,0.20519567041703085,5
2024-08-26,0.4997683731479214,0.30779350562554625,5
2024-09-02,0.11644692638360521,0.46169025843831935,5
2024-09-09,0.12412511798441232,0.10259783520851543,5
2024-09-18,-0.42913543767973106,-0.09999999999999999,5
2024-09-25,0.616774306154546,0.6668859288553503,5
2024-10-09,0.7398391207857525,0.6668859288553503,5
2024-10-16,0.13063095980556308,0.19999999999999998,5
2024-10-23,0.6690282068201437,0.8720815992723809,5
2024-10-30,0.5023881861619155,-0.05129891760425771,5
2024-11-06,0.5366159205519098,0.5642880936468347,5
2024-11-13,0.048325081678026884,-0.15389675281277312,5
2024-11-20,0.9465278972918457,0.6668859288553503,5
2024-11-27,-0.3032672516889498,-0.4103913408340617,5
2024-12-04,-0.40347388001675305,-0.31622776601683794,5
2024-12-11,-0.10326606294778384,-0.3,5
2024-12-18,0.5236042376333917,0.7999999999999999,5
